tpr,fpr,auc,clf,fold,f1,prec,rec
0.0,0.0,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.008,0.0,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.04,0.0,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.04,0.001006036217303823,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.048,0.001006036217303823,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.064,0.001006036217303823,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.136,0.001006036217303823,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.136,0.002012072434607646,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.216,0.002012072434607646,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.216,0.0030181086519114686,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.288,0.0030181086519114686,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.288,0.004024144869215292,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.296,0.004024144869215292,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.296,0.005030181086519115,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.392,0.005030181086519115,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.392,0.007042253521126761,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.432,0.007042253521126761,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.432,0.008048289738430584,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.456,0.008048289738430584,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.456,0.009054325955734407,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.496,0.009054325955734407,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.496,0.01006036217303823,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.504,0.01006036217303823,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.504,0.011066398390342052,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.512,0.011066398390342052,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.528,0.011066398390342052,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.536,0.011066398390342052,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.536,0.012072434607645875,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.624,0.012072434607645875,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
0.624,0.014084507042253521,0.9760724346076459,ez_ens,1,0.6987242394504416,0.5527950310559007,0.9493333333333334
